"Name","Set.Name","R","High","Med","Low"
"Thopter (0020) // Ooze Double-Sided Token","MKM","T",0.54,0.39,0.15
"Thopter (0020) // Plant Double-Sided Token","MKM","T",1.17,0.67,0.5
"Thopter (0020) // Skeleton Double-Sided Token","MKM","T",0.42,0.27,0.15
"Thopter (0020) // Spider Double-Sided Token","MKM","T",0.27,0.17,0.1
"Thopter (0020) // Spirit Double-Sided Token","MKM","T",0.42,0.3,0.12
"Thopter (0020) // Thopter (0019) Double-Sided Token","MKM","T",3.55,1.92,1.63
"Thopter (0020) // Voja Fenstalker Double-Sided Token","MKM","T",0.33,0.19,0.14
"Thopter Token (0019)","MKM","T",0.2,0.17,0.03
"Thopter Token (0020)","MKM","T",0.14,0.13,0.01
"Thundering Falls","MKM","R",23.94,13,10.94
"Thundering Falls (Borderless)","MKM","R",47.43,32.79,14.64
"Tin Street Gossip","MKM","U",0.18,0.17,0.01
"Tolsimir, Midnight's Light","MKM","R",0.38,0.33,0.05
"Tolsimir, Midnight's Light (Showcase)","MKM","R",0.45,0.4,0.05
"Topiary Panther","MKM","C",0.1,0.09,0.01
"Torch the Witness (a)","MKM","U",0.16,0.15,0.01
"Torch the Witness (b)","MKM","U",0.15,0.14,0.01
"Toxin Analysis","MKM","C",0.31,0.3,0.01
"Treacherous Greed","MKM","R",0.26,0.25,0.01
