"SKU","Shape","Carat","Clarity","Color","Polish","Symmetry","Fluorescence","Measurements","Lab","Cut","x","y","z","price","listingURL","imgURL","priceClean"
"sku_125952 ","Round",0.8,"VS2","FALSE","Excellent","Very Good","None","5.82-5.88x3.66","GIA","Very Good",5.82,5.88,3.66,"$4,248.00","https://diamondsdirect.com/round-0-8-f-vs2-125952/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/111677/images/119493/220829-61__16407.1675335485.220.290.jpg?c=1",4248
"sku_133767 ","Round",0.8,"SI2","D","Excellent","Very Good","Medium","5.96-6.00x3.61","GIA","Very Good",5.96,6,3.61,"$3,118.00","https://diamondsdirect.com/round-0-8-d-si2-133767/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/119339/images/127626/221313-523__80276.1675328200.220.290.jpg?c=1",3118
"sku_137347 ","Oval",0.8,"VS2","FALSE","Excellent","Very Good","Strong","7.42x5.02x3.14","GIA",NA,7.42,5.02,3.14,"$2,834.00","https://diamondsdirect.com/oval-0-8-f-vs2-137347/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/123042/images/131875/220921-37__76437.1675334387.220.290.jpg?c=1",2834
"sku_137994 ","Round",0.8,"VS2","G","Excellent","Excellent","None","5.80-5.83x3.68","GIA","Very Good",5.8,5.83,3.68,"$3,861.00","https://diamondsdirect.com/round-0-8-g-vs2-137994/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/123888/images/132721/221354-116__76120.1675333739.220.290.jpg?c=1",3861
"sku_131076 ","Round",0.8,"VVS2","H","Excellent","Excellent","Medium","5.99-6.03x3.61","GIA","Excellent",5.99,6.03,3.61,"$4,238.00","https://diamondsdirect.com/round-0-8-h-vvs2-131076/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/116634/images/124793/220851-515__13657.1675332234.220.290.jpg?c=1",4238
"sku_144798 ","Round",0.5,"VVS1","H","Excellent","Excellent","None","5.05-5.08x3.17","GIA","Excellent",5.05,5.08,3.17,"$2,007.00","https://diamondsdirect.com/round-0-5-h-vvs1-144798/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/132983/images/143602/224036-238__48752.1675335015.220.290.jpg?c=1",2007
"sku_135691 ","Round",0.8,"SI2","D","Excellent","Excellent","Faint","5.89-5.92x3.70","GIA","Excellent",5.89,5.92,3.7,"$3,448.00","https://diamondsdirect.com/round-0-8-d-si2-135691/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/121805/images/130638/220886-322__15693.1675324777.220.290.jpg?c=1",3448
"sku_106246 ","Cushion",0.8,"VS1","I","Excellent","Very Good","None","5.12x4.94x3.44","GIA",NA,5.12,4.94,3.44,"$1,473.00","https://diamondsdirect.com/cushion-0-8-i-vs1-106246/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79198/images/82536/220471-515__12381.1675326944.220.290.jpg?c=1",1473
"sku_106102 ","Cushion",0.8,"VS2","E","Very Good","Very Good","None","5.12x5.11x3.56","GIA",NA,5.12,5.11,3.56,"$1,994.00","https://diamondsdirect.com/cushion-0-8-e-vs2-106102/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79074/images/82412/220284-412__22060.1675330365.220.290.jpg?c=1",1994
"sku_130466 ","Pear",0.8,"VS2","D","Excellent","Very Good","Medium","7.74x5.11x3.35","GIA",NA,7.74,5.11,3.35,"$3,165.00","https://diamondsdirect.com/pear-0-8-d-vs2-130466/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/116338/images/124424/221313-627__89288.1675313328.220.290.jpg?c=1",3165
"sku_124712 ","Heart",0.8,"VS2","I","Excellent","Very Good","Strong","5.67x6.24x3.78","GIA",NA,5.67,6.24,3.78,"$1,526.00","https://diamondsdirect.com/heart-0-8-i-vs2-124712/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/110473/images/118277/223522-235__87965.1675333739.220.290.jpg?c=1",1526
"sku_106281 ","Cushion",0.8,"SI2","K","Excellent","Excellent","None","5.13x5.06x3.52","GIA",NA,5.13,5.06,3.52,"$1,162.00","https://diamondsdirect.com/cushion-0-8-k-si2-106281/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79728/images/83063/223519-76__49473.1675334965.220.290.jpg?c=1",1162
